永豐站內+1
一去不回了0.0
有賺有推 謝謝珊居大
賺錢靠g大 我一輩子跟g大！！！
3﴿?威武！
推!!!!
現在34、35了欸，超猛
感謝g大分享，已獲利出場
34了，推G大!!!
g大分享的標的果然都是值得期待！
34了推推居大帶大家賺錢帶大家飛
好猛...
糞青都不見了喔
這檔真的讚
35出掉賺錢讚讚，謝謝3G大分析
開心！
小賺先出場了 哈哈
感謝G大分享！
推G大，這檔有賺到。
超神推薦！謝3G大！
賺賺 謝謝G大
有賺有推
推G大，小賺出場
謝謝g大
現在在漲啥啊 漲停兩天惹
太扯啦G大～
感謝3G大分享！
酸酸的臉好腫～
謝g大已賺錢
感謝分享！
賺了一些 感謝g大
太神啦，不虧是GG大大
3g就是推。酸酸可憐哪，臉超腫
g大猛猛的
推 又賺歪 謝謝gggg
當初沒認真 殘念
謝謝g大分享超強的！
推 受益良多
推爆3G
感謝g大～～～
慘 反指標
朝聖
輸
拍拍
啪啪啪啪啪
Q3毛利只有12.68%，怎麼看？
推
好像島狀反轉了
Rosa私我，謝謝
有消息指出，稅改不會過，拜登又明顯勝利，川普不亂搞的情況下對美股是大利多，剩下這三個月心情很複雜呀XD
突破40元了，心情真是三溫暖，抱到42元沒賣，急殺到26元，如今又回到四字頭，快突破新高
先賣一些最近選舉因素觀望一下
我個人投資的原則是我認爲我無法預測漲跌 能做的只有買好公司。40塊抱住其實跟40塊買進是一樣的概念。如果你手中是現金，你是否會在$40買進？會就抱住，不會就賣掉。急漲的股都會急跌是正常，每個人投資策略不同。
提供股癌的方法，一直在破新高的股票不要賣，因為不知道會不會持續破新高。舉例特斯拉賣在1500很舒服，可是一直在破，最後漲到2000，後面的都沒賺到
.........
-1調電壓的未來靠儲能 除了台電躉售外 綠能儲能還有用電大戶條款 RE100 蘋果要求 歐盟關稅等等誘因台電未來會把饋線的事 跟再生能源平滑化都交給業主自己解決好嗎現在一堆owner電廠科技廠半導體廠都在想搞直供 但無論如何還是需要靠台電的輸配電 所以要跟各地區處做短線做得起來，長線自然沒問題，就賣出立刻買進而停損對賬單呢？
中鋼人愛戴？
ptt一致看空，我知道該怎麼做了
之前增資籌資88億在22元，幾年股利配下到19多了吧
聯電只剩炒作的用途，有人會拿他跟台積比實力？那擅散戶先學會賺了迎頭小利就跑，如果可以天天交易，天天正收益，再談長期投資要怎樣長抱也不遲，很多是被套牢強迫長期投資有本事就賺5趴就賣，然後馬上又買回，繼續賺下一個上面邏輯反過來說就是大盤賺30%你只要賺10%就好了有些都跌破5年線甚至十年線 這叫偏高?!
勿忘國泰人壽，當年存股的……
川普當選也是跌，就需要修正，其他都是皆可
日月光已經在高檔，價格在55~60比較合理，今天開始會向下修正
有種all in
太陽能選後還會大漲一波，樓上幾位別誤導
這篇真的就了大腸能
果然反指標XD
空的人應該被嘎爆
反指標..
跟ptt反著做就穩了
反指標 嫩
果然 看起來沒救的時候 就是要做多 笑死
朝聖
反指標 好險我買往生當定存
朝聖
謝了兄弟 本來想賣掉 多放個一天
Ptt果然反指標！
好猛
有賺就給讚
逆轉...神打臉
D調
要查什麼，結果都一樣，浪費時間..
可茶膩?茶鳥膩?都是黨的人在裡面，是要怎麼茶?去的話就拉到會議室砲茶喝咖啡吃烤鴨，3小時出來就茶無不法惹，還茶?第一天認識牠們膩?
離譜！
這麼急漏餡了
I前板主息怒XD 這個帳號本來就賺很大不用聽版友建拜登最好當選 打臉詐騙黨
不是說好晚上崩盤的嗎==不崩怎麼加碼
你各位啊 不要搶買  一個一個來
歐印啦
然怪奇力新強
99國巨
上看1000
哼！超小型擴產也拿來說嘴炒股      現在一張幾塊？
沒局了買600以上的幫QQ
空看新聞找標的還蠻有效率的
下探12塊
說到電競筆電我第一時間不會想到宏碁耶
猜測是商務筆電帶來營收 但會買的人上波疫情就買了
@2
我也覺得開4
NV延後 開4了吧
當初就已提醒版主必須解決若開票要開一週的問題了當時版主的定義是當晚CNN節目結束時決定，沒結果開4所以我認位應該開4，股板和paranormal的定義不一樣paranormal的定義是可以等到法律訴訟完才開獎的因為不明確所以我沒有參加這一局，還是尊重版主決定辛苦了
但問題是現在全美的開票節目都陪停過繼續馬拉松
內華達州都說禮拜四之前不會公佈了  開四比較合理而且選情是出乎預料的這麼膠著才會造成這個局面當初會開這個選項不是也是預估會有出乎意料的情況
開4，選舉意外被延後或終止
可以買一台新的卡啦ok了！
就是開4阿 選舉結果延後沒問題吧?
開4吧
台G店明明就是賣藥膳雞湯的
不知道哪間雞排可以進台雞供應鏈？
出貨文，還一次出好幾家
台積電養老院有搞頭嗎?
看到中國發展我就笑死，發展十年還在發展發展啦，哪年不發展y
五年前怎麼就聽過同樣的話了 結果越差越多
台積電adr大爆噴
台積電大爆噴 台股真的要萬三了
看空聯電結果看多聯發科????
今天開盤證明原po是對的！
打臉樓上一堆人
昨天靠消息撐上去，今天當然就會下去，消息面籌碼面重新整理之後站穩就到他該有的價值
空爆
就承認重大訊息打錯 違約重罰3萬。。。
另外一家偷偷談，還比較有可能是真心要做買賣
這家拿了有可能還被之後在野打爆耶 有中資問題疫苗背後
順時中說不建議追查 韭菜們自己認吧
這隻還要再盤一段時間
對帳單呢？
臉 啪啪啪的響
救救9933
樓主上面這樣亂列 不知道會不會被告XD
你說說看台灣人才有在做風電的? 政府圈錢用的而已
台灣技術意外嗎？
藉口而已，最後不用國產化
同學會那裡都說9958技術很強耶  難道是幌子
更正一下...沃旭水下基礎是興達海基；cip水下基礎是給世紀鋼、但世紀鋼現在只有水下基樁的產能（沃旭有給他基樁的單）、水下基礎廠房還在蓋...
這幾家做完的東西都是靠誰搬運！！？？
陸海啊，噴完了啦
台廠公共工程品質 有不少是用政治方式驗收的 有關係沒關係 沒關係有關係 不是只有26這樣
列的相關類股都不太對吧...
上緯根本不影響 大陸的也吃的到
而且也先別噴台灣台廠 每個公司不太一樣也許我們真的能稍微了解再評論比較好
一堆DPP金主跟民代入股成立的新公司，國產化？只會把國家的錢搬到自己口袋
上緯不是做這部分...
不意外，韓國根本不用歐洲廠商指導自己就能搞風電設備。台灣有政府幫台廠牽線但台廠就是做不出來還在那邊哭…可不可以不要那麼廢啊
韓國有政府隨時都能全力支援 還有ㄧ堆什麼 台灣政府就牽ㄧ牽就不管 廠商也問題一堆 不然就要插乾股
台灣的傳產就一些老屁股死腦筋，不是要戰學歷，但是你國外一線大學回來的view就是屌打你北科大畢業弄的出台積電嗎
檯面下黑的事情一堆，外商看了誰敢放給這些人做
國產化他就少賺了
沃旭：你媽智障台廠
看看興達中鋼那個案場都搞到這樣可見其他...
怎麼感覺在罵人智障一樣，哈哈
菜症腐，給你賺你還罵台灣廠商台灣人弱?給你賺你還不好好輔導台灣起飛，是什麼問題?
美利達？
螞蟻在做的事絕對是趨勢  傳統金融業是該倒倒了
巴賽爾協定還是有它的功能在，必須限制銀行業務
馬已京伏
習總開完會.....已經沒有價值了
人治國家
2885要噴了
992885
元大元太一家親？
推文XDDD
992885
鰻魚飯最近賣很好喔
元大的ETF真的不錯
今年董事長有講到為了擴廠委屈股東配息 但不知道這句背後的意思是不是明年會和往年差不多的殖利率
這家其實是永豐餘的子公司
今天散戶看錯把元大買到漲停
992885
鰻魚飯可以吃了嗎
潮水退了
只停在自己贏的時候.....壓箱的票都是垃圾喔
那指期貨噴4%....直接封缺口
放空的 被嘎
美股噴噴看不懂 拜登不是對科技股不太友善嗎
拜登對科技不友善 但對中友善
慶祝行情 舒服
太狂拉 加稅登上了反而股市慶祝 預期中國市場回來?
拜登的票真的都在投票箱下面
前幾天跌得幾乎都回來了
非法人口為何可以投票 這樣灌水很容易中共隨便弄個就幾10灣 選舉制度要改吧
叭叭叭抗議 司法不公 違規做票 叭叭
你川領先時，拜燈有叫法院停止開票嗎？哈哈
哈哈~~就說了台灣政府支持的都落選~~讓台灣吃毒豬狂牛的總統都等著下台吧！爽~~
這比台灣選總統還刺激啊
增加美國工作機會是在沒新冠病毒的前提下，有新冠處理得又亂七八糟，最好是會有工作
川普姓韓？
 即時開票
有道理
目前正在開票好像呈現拜登反敗為勝 但美股目前正在大漲 難道美國人看不懂川普快要掰了嗎 還是不管誰當選都是要噴出? 如果最後票數是拜登270比268勝出 以川普的個性怎麼可能乖乖認輸 一定跟你官司打到底 鬧個天下大亂吧 這樣股市會怎樣 今天是逃命反彈？ --
美國總統選舉不確定性增高，導致美國納斯達克指數快空啦 不要靠邀
美國不再到處刷仇恨值，中美關係緩解，還不噴爆
誰當選本來就差不多只是台灣要小心而已
先買鏟子股
怎樣也都是先空再多。明天全員當沖
雙重慶祝行情 早上漲川普連任 晚上漲拜登當選
美國誰當選影響不會太大。台灣反而大影響
無腦多
中美關係緩解是利多還利空?
不確定性降低就是噴啊
川普連任同時拜登當選啊問題想清楚再問好嗎
希望美國越亂越好
不確定因素消除，噴。但是川普投顧也走了QAQ
不知道  空手看戲最安全
越亂越噴
無腦多很難？
我今天賣掉了。算不算阿呆...
本來就是誰上都會噴啊
到處打貿易戰 找歐盟麻煩的問題被解決當然噴啊
就不要川普等等展現風度退休大賺26錢
民主黨支持科技巨頭 先噴再說阿
特斯拉是在跌啥意思的...?
你才逃命 你全家都逃命
川普不承認敗選怎辦？
不確定因素感覺才正要開始不是嗎？
如果賓州也是拜登 差距只會變更大 要鬧也沒用吧（？
好公司利多 爛公司本來就沒救了台GG到處設廠產能還是不足
這種盤就算創新高我也不想跟，做多部位賣掉了，空手等機會再確認方向
拜登終點前超車 噴得最兇的其實是港股
這盤很怪 不確定性明明還在
中美關係緩解 世界和平 —》利多
中美貿易戰停戰第一個倒霉的就是台灣  明天崩崩囉
不會啦 反正GG一家就頂好幾家了 沒貿易戰也能賺投片
誰當選都是美國人得利，不像台灣內鬥啊
川普會不會使用政治板波西條款判定拜登當選無效呀要不然就比方框框要求電視輔助判決重新驗票，無限挑戰到成功為止
越爛越噴啊
美國又不是第一次選完總統後有爭議，不是帝制國家，問題總是能解決。至少現在還不會預期很嚴重吧
看看丁守中就知道 吵也沒啥用啦 現在已經在漲經濟刺激方案的行情囉~
華爾街本來就偏民主黨啊
美中和解直接噴到四萬
摸摸鼻子回去當富豪，爽也爽過了
美國看來會亂一陣子，正中對岸下懷QQ
郭台銘可能稍微沒那麼抖了!!不然川應該很記仇!!!
因為川普死透 吵不贏了
老美亂一陣子，那老共肯定還會找事情做，嘻嘻
應該是快選出來 紓困案才能通過吧
科技巨頭根本故意賣到今天來打川普臉
散戶都做空 華爾街當然做多啊..先嘎一波爽再說.
選舉完還是要回到基本面 但長期就不一定了
培嬤要開印鈔機了 各位還不跟上上禮拜就是被他惡搞一波
你怎麼會有拜登上股市就不漲的錯覺你以為美國都跟台灣一樣挺川？
共和黨控制國會體制政策大致不變 總統沒差 所以大漲
甘迺迪被暗殺，跌沒幾天又漲回來，只要政治情況能穩定，股市長期就是會漲。
這樣就不會有中美貿易戰了吧?
轉弱，關稅肯定還會有，用農產換，加大美國投資台GG禁令解開 噴到500
差距真的很小，可以預計會有爭議
感覺會鬧上法院吵一陣子才會有輸贏了不過 不管誰上 美中對抗的大局勢都是一樣的
問題是拜登對企業要加重稅阿 短期應該跌不是嗎？你說中長期美中關係改善經濟平穩ok 但短期該跌阿
你覺得該跌 偏偏拉到你受不了再出貨沒什麼是一定 該跌 只要高點爆量 先跑一點就好說不定因為QE 一路上35000
參議院還在共和黨手上 加稅不一定會過 但商務部搞的制裁是控制在總統手上的
關稅和制裁難持續了 拜登的政策就是歐巴馬那套 用談判代替貿易戰 阿共最愛的就是跟你談判..
美國總統選舉的規矩是有人說我認輸 選舉就結束了
阿共當然愛談判啊，好處爽拿，契約遵守看心情
發生票數接近或是有爭議的情況其實還不少布希跟高爾那年也是很接近 上一屆其實還好
反正台GG肯定要炒一波，雖然Q4不怎樣
沒了商務部扯後腿美商重返中國賺到流湯的好日子不遠
奇怪，一天到晚講逃命，結果股市在一萬二
米國人無腦買股挺大選，任一方都認為自己會贏
印台戰略 中國人比印度便宜才有機會何況中共賺錢 卡東卡西
卡東卡西不是必然嗎?我們的風電不也卡沃旭硬卡國產
一覺醒來 突然多了2個月薪水在美股上
貿易戰打了3年，看廢半噴成這樣，就知道大家還是愛錢的
投資人押拜登贏，只有共和黨押川普，所以才要慶祝川普是個不確定性的因子，市場最怕不確定性
除非美國允許中國崛起，不然貿易戰應該會繼續打
問題現在不確定性才要開始吧，川普要打法律戰了
巴菲特都誰當選不重要，美國人只會越來越有錢
低能覺畜才會以為拜登會當賣國賊
上次蔡英文不就挺希婆
在版上搜尋了00646跟00858，基本上沒有什麼文章資料。 很好奇這邊的版友有在定期買（存）這兩檔的嗎？ 追S&P500指數這算是很好的標的，當然追蹤誤差就另論了。 我台股有定期50、56、878。 美股嘉信則是無腦VT居多。 最近有考慮台股另一個券商定期00692＋00646或00858。 請問版友們有在存這兩檔的嗎？覺得如何呢？感謝！ --
我記得以大數據來說選完的20日內都是多
要追標普500為什麼不直接買spy或voo 管理費便宜太多了
臉書搜尋「只買台股etf」
我買統一fan
應該可以
00646的追蹤能力爛到不行 直接買美股ETF吧
我都買盤仔買的00757
00646只拿80%投資SPY 其他20%投資其他商品
我只買VT跟006208，有辦法拿市場報酬，幹嘛再買雜魚拖累報酬？
你有辦法買美股，又是長期投資一點都不推這兩支除非是只投資一兩年以下，省匯費或複委託手續費那是可以考慮看看，然後二選一的話還是元大好一點
※ 引述《madaux (形影不離)》之銘言： : 目前正在開票好像呈現拜登反敗為勝 : 但美股目前正在大漲 : 難道美國人看不懂川普快要掰了嗎 : 還是不管誰當選都是要噴出? : 如果最後票數是拜登270比268勝出 : 以川普的個性怎麼可能乖乖認輸 : 一定跟你官司打到底 : 鬧個天下大亂吧 : 這樣股市會怎樣 : 今天是逃命反彈？ 完全無法預測， 之前說拜贏是大空頭，結果美股照噴， 之前說特斯拉是綠能，拜登概念股，結果今天硬跌個3塊， 這波也沒辦法看基本面，跟賭博差不多。 尖牙股全面上漲，就特斯拉跌，應該是川普勝選的局。 -- posted from bbs reader hybrid on my asus ASUS_Z01GD --
買VOO 好嗎
00757又要漲爆了
看籌碼面
誰說拜贏大空頭的 難怪會覺得無法預測
特斯拉算中概股吧，美中對抗格局不變的話下修不EY
也許只是因為CEO不務正業想做貓娘所以才跌的
股票是個效率市場
說是因為中概股才跌的，可以去看看nio 理想 小鵬 現在漲成什麼樣子
特斯拉就漲多了休息，錢挪出來漲其他股啊
特斯拉靠中國韭菜很難賠錢吧
那些分析不就給韭菜看的嗎沒有什麼能不能預測的問題 只有做對做錯邊的問題
今天陸股跟人民幣應該會噴翻了
今天陸股應該會噴翻
台股這一兩天肯定再急殺一波
確定就是多阿==只有不確定是空
預測本來不一定準阿 市場總是每天出來打你臉
誰贏？看到最後我也醉了！
不過之前也有一說，綠能這些拜登概念股今年漲太多，就算拜登當選也是利多出盡那些大賺一票的人本來就是選後誰贏都會出掉綠能比較好奇昨天因為川普領先而先跌的台灣太陽能股今天是要補漲回去？還是跟著美國太陽能繼續跌？
印度神童人呢
理由隨人說的 你還信？
別人說什麼就信什麼 標準看風向
華爾街金主砸多少錢給拜登了  媒體放話喊空頭你也信
這麼簡單誰賠錢？
陸股應該噴翻
拜登跟共和黨對貿易戰的態度是如何阿??說錯  是民主黨
今天一樣噴高高，不要不信邪，股市超乎你的想像
憨粉怎麼都不見了？
美股騙人上車
看漲說漲 事後順勢掰看法
前兩週壓抑太久
根本亂來 昨天睡覺前覺得川普大贏
誰說拜登贏是空頭== 是一堆人自己臆測吧...
大眾的思考就是當韭菜啦 投顧公司應該早就都操作好了 誰當選都是要經濟刺激方案 無妨
主流科技巨頭本來就對川普不太滿意了吧這次連傳統右派WSJ都沒那麼挺川
有啦  華爾街有些大頭在媒體上放話是空頭  然後轉頭捐錢給拜登XD
WSJ對貿易戰其實也不是很支持
不是不支持貿易戰  是不支持川普靠關稅的打法
我講得太籠統 你說的沒錯 是不支持關稅貿易戰不過其他手段都沒辦法立竿見影 都需要時間 和川普的 自家官網標題： 引進歐盟認證新冠疫苗有望　台灣東洋獲德國BioNTech授權 根本沒提到有條件三個字 所以官網不準 以記者會說的為準摟 心得：生技不能碰，就是顏色正確才會查無不法吧 --
個性不太合...
炒股天堂
我只在乎那個金管搞笑會要不要做事？
官網本來就不能盡信啊，要參考多方資訊來源生技不是不能碰，是不要不懂又愛跟風，要跟也要早點跟早點出
林全顏色這麼正確 查不到什麼的
成交量1497 融券卻可以一家518元大大同超爽der
林全跟當今聖上是麻吉，哪個檢察官敢查？
我是信了 跌停買
很怕民主  不敢發表意見  坐等風向
空爆
空不到了 開盤就跌停鎖死  繼續搞DR轉移焦點就好
猜今天跌停鎖死 空不到 盤中打開急拉漲停嘎飛雜空
自救會開起來
怎麼上去  怎麼下來
繼續公告溢價
好可怕 遊戲規則都讓它訂就好了 差勁的公司
金管會呵呵呵
陳時中還說不建議調查哩 XDD
樓上真會斷章取義XD
還要繼續騙啊
金管會不就這樣 沒關係 馬上抓炒股的人
有關係就沒關係，你說林全怎麼輸
我斷章取義? 東洋自己拿不出來文件陳時中自己說 東洋無誇大不實 不建議調查
  非衛福部的職權，他要"建議"金管會該怎麼做嗎？
原來 現在一個人可以說了算喔 ...真是開眼界顏色對了就是正確啦
第一句說了什麼？直接無視？不是你的職權你要建議什麼？當然不會去建議該怎麼做，那是金管會自己要決定的
他可以講金管會去調查有無不法 而不是建議不要查
建議了又要被說下指導棋、插手不屬於自己權責的事，不論最後有無不法還會被抹伸黑手喬事情。公部門這樣做事比較好？第一句就說金管會當然可以去調查了啊XD
看前後文  陳的意思明顯是不干涉金管會  不是建議金管會不要查好嗎..
他沒有說建議不要查喔，語意理解不了？
替買東洋的股民感到悲哀
一直炒股一直爽  這家公司以前就這樣了
有人臉腫到語無倫次
那句話的意思應該比較像建議調查不是他的職權吧
建議不要查 跟 不給建議要不要查 有那麼難懂？？某人臉好腫XDDD
當長官強調說我不會干涉 這樣當下屬的還聽不懂??
笑死 跌一根就打開了顏色對了 跌也不會跌太多
噓時鐘
顏色不對了  看什麼都是錯的^_^
敢玩得去玩，這種沒內線玩不贏的
賭徒輸了活該，這種股也敢進
('・ω・') 太黑暗了
中文很奧妙的，大家給他一點活路R
今天買就對了 綠的怕什麼發個消息下來載內庫上車那麼明顯 然後再殺一波
感覺某人是中文沒學好 不是斷章取義
