這種崩跌形勢只下看8600真的太保守了
坦克吃到無敵星星一玫，要收紅拉
整個短沖，賺的心好累
財報跟新聞我無法控制有賺就好不要貪心~ 我們互虧都有賺啦
美國隊長你....
b大極短空都跑很快...
短沖一天一兩千也是賺額外薪水 很好啊XD
我短沖一天都賠一兩千  人生好難一直很想站上23900耶
美股要崩到川普出來喊利多也沒效~他才會真的收斂!!
8600還不快來，等到快睡著了，滿手現金快發霉了
我一天都賺碗魯肉飯跟礦泉水...哈哈哈
這位階空美股蠻危險的
畢竟選舉時可是要打美股點數牌的!!!
ed大恭喜~有賺總是好的~~~
訂閱西蛇好像也是個好選項 不用去求紫南宮惹XD
真的嗎  可是我現在還是看空XD  可能改進台指期空單留倉Q^Q
美股到尾盤就會自己拉回去了
KD過高且下彎 沒破24000大區間還是可以拚空@@"
我是這裡的新手，想說來跟大大們學習，被巴就當貢獻啦
台積就是一間衰退的公司
洛杉磯的老師已經在街頭遊行抗議了
空單續留果然是正確的
vvj995
今天賺便當出掉手持股了
Kay來一杯土嗎？（遞）
明天不知道 台股會不會漲
小道摔車惹
多多只能拉200點，被看破手腳-.-
我把會員的錢當錢，以後投顧說這句都讓我怕怕
股價台股明天是跌的了……台積沒起來要漲比較難
鏟貓屎睡了去 美股每次睡前看跟起床看都兩個世界...
難道明天中小又要活蹦亂跳嗎
我吃雞排就好
Kay 雞排有跟老闆說要加辣嗎= =？
土我省著吃，明天換你帶雞來空...控
紅茶 可以進？
師父說: 面對這些變化 去對應它 去享受它 或者是去征服他或是被打敗然後 沉浸在失敗的感受 再重新站起來因為 每個人都必須面對這樣的過程 我也是 ~*
為什麼矽晶圓變弱勢股
  笑容很棒的日本奶妹
當，你聽到「還是缺貨，但沒那麼缺」該做什麼？
道瓊噴了
睡醒又兩樣情了~不忍~~~
呵呵呵呵，對啊，鐵了心要24000的感覺
空單真的很難熬 哈...
妹股 到底 再噴甚麼~
費半……
好假
費半翻紅台股百點招待
目前台積adr - 1.64
做多做空都煎熬 還是空手吧
硬邦邦
笑死人 美國不是貿易戰大獲全勝嗎 怎麼沒噴
笑死人還沒結束就被開破手腳一堆利多不然前幾天噴假的？
你們大概等到29990時   才會說準備上三萬笑             死             人
最後30分鐘會不會來一個完美的溜滑梯
醒來，道瓊収24000之上
樓上平行時空
還以為真的超過24000，不過費半跌比較多一點。
假突破真下跌
沒有這樣天天虧錢的啦…
我姐跟我說納斯達6950就反彈滿足了…所以我信了她空單沒徹 不過還是賠 買太早了
好懷念暴漲暴跌的日子
難道只有我昨天吃道瓊150點虧損
Csir該不會開盤就空？
99vix
啾啾空軍QQ
布倫特油直接下去惹
當然QQ QQ QQ想說空完睡起來數錢，結果睡前一看幹要補錢
台股你沒有進場吧？很難找到好空點
台指夜盤太硬了波動也小
vix昨晚不是漲嗎，為何要救
台gg 誰來救救gg
美國把中國打入冷宮  找印度出去玩~~練習噴火
Gg盤後有漲回來欸GG有什麼利多消息？
盤後真的誒
台GG盤後暴漲２％
盤後漲嗎？難道一切看好？
Csir我看他突破23750就開心的空在23742嘞…現在不知道該投降還是期望拉回少賠點再平
盤後盤都去哪看，求解
我怎麼看 google finance 昨天-2.3%  盤後盤又-0.28% ?
也不是暴漲啦....就是回開盤價……………烙……………賽………………
啾啾空軍QQ
笑死
今天完了
今天看某軍表演XD
我終於可能有機會讓庫存其中一隻翻紅數字了 太感動了
早就說要跟著羅曼大、beta大將軍放空了，傻多就是講不聽ㄟ
爽哥！爽哥！
有暴衝一下下，仙人指路？日經拉回來平盤 韓國也漲
我凹單沒有一次賺回來的XD
==============108/01/15台股資訊重點整理，供股民做投資參考============= 台  股  9708.22  ▼51.18 (-0.52%)  714.87億 台指01 9691       ▼59   (-0.61%)  117 956口 盤後01 9692      ▲3    (+0.03%)    22 571口 摩台指 355.9     ▲0 (+0.00%) 八大公股        +13.57億 台指期未平倉口數 自營商 +588(+2 284) 投信 -23 741(-274) 外資 +44 138(-5 224) 台指選未平倉口數 自營商 -52 168(-41 798) 投信 -2 411(+0) 外資 +24 312(-4 730) P/C Ratio 119.84%  (-8.31%) 最大未平倉量        Call 9800 Put 9000 最大未平倉變化量  Call 9700 Put 9550 -- 道瓊工業   23909.84 ▼86.11(-0.36%) 那斯達克    6905.92  ▼65.56(-0.94%) S&P            2582.61   ▼13.65(-0.53%) 費城半導體  1194.28  ▼18.76(-1.55%) 明天是台指、選擇權月結算唷！ --
c捨今天會下vix嗎？？
雯晴跟玉山鴿無緣 台股怎麼走
頭
99 2888
噴出
難道？！
可惡！想頭粉
雯晴早安
早安早安
雙鴻大賭場
雯晴饒炸
大家早一起賺錢
q
3324噴出
今天也沒玉米濃湯 沒吃早餐瘦20公斤
玉山哥玉米濃湯煮好等數錢
推～～
亞獅康試搓漲停
99vix
玉山哥呢?好久沒看到了
多軍的大家加油啊啊啊
亞股怎噴成這樣？
雯晴995
日本居然漲
救救我的空單…
韓股站上去季線了...
3324下好離手
Mopack你也有空台股？
各位賭神早安 雯晴早安 今天空哪支呢
開盤前先噓一下持股超爛QQQQ
空軍聽令 : 今日最佳空點，開紅就空，台指、散熱、5G優先
空我的持股我覺得穩賺的QQQQ
開盤跟大家說我要去補眠
4960今天怎麼演？
別追反彈，開高就是空到底。 空到封關前回補
沒有，我現在手上是道瓊空單…
玉山鴿虧到沒法做玉米濃湯只好跑去跟嘎尾老輸要點來喝喝
年前空手才是王道
今天隨便空，明天都是躺著數錢，空到2020年
外資昨天做空根本被巴假的
雯晴等不到玉山鴿，傷心先離線了~~~
台指磋紅開盤直接平盤？？？？？
送空軍上山啦
手上恥股低檔轉多頭慢慢往上爬希望撐到過年前
推正妹
日韓各種噴
完了 要崩了
景氣爛也不會跌  啾啾空軍QQ
又亂搓…
難道只有我賠錢
無腦多睏霸數錢
無腦多也有我這種每天睏霸就虧錢的QQ
嘎嘎
2834屍賤闇全家17414
難道只有今天又賠了7000元畢業?
恥股還在崩
空爆大電鍋， 燒焦的電鍋是不能拿來用的
封關錢政府發紅包
看來貿易戰有解
99vix
救救空軍
空到紅包賺飽飽
空軍十點準時領錢
東森那時候要回十元啦。等很久耶
今天空，應該有機會去公園995
可以空GG了嗎？
ＧＧ等一下偷拉一下 今天就９８００了 QQ
GG試搓在那邊誘空 笑死
昨天空，已經在墓園的土裡了…
e04.....99vix
上週三聽令空962X的怎摸辦?QQ
又在騙
vix試搓不是漲2趴嗎？？？怎跌了？？？
玉山鴿是被雯晴吃倒了ㄇ 怎失蹤這麼多天
開發金磋999有點假
超鴿:外資的話如果能聽屎都能吃...會員:連你也不例外...XD
對啊vix竟然是跌…
夜盤又婊人了
超鴿：買股票就是要追高！！一堆追在最高，不忍
完了，要休學了嗎
雞蛋漲價沒辦法煮玉米濃湯給雯晴喝了...跑路了
要崩潰
準備迎接大崩盤時代！
台積，這樣子，好像空喔，但是我在公園的路上了
搓得亂七八糟="=
8905低調內需股 買起來
買好買滿
空單被嘎了QQ
早 聽說昨天傻多又出來壯膽了 @[email protected]?
幹  不要嘎喔
漲十點 無言
元大金猛猛
吧開高走低
昨天買到飆股了
大漲10點 空軍好怕喔
兆利繼續往上爬
要空要趁早，早空賺得多
3324續噴
vix是什麼意思 沒漲就算了 還跌那麼多
8069 準備噴噴
富邦被中環bang
小力光 GG 跌 難怪指數拉不起來
期指嗨過頭 台積電不甩你
羅曼大2345狂嘎，救救2345
完了 小日精被嘎爆
衝阿
準備緩跌死魚盤，讓多軍悶到炸
鴿 智邦嘎好猛啊
開盤 有個富翁丟了1億多 買了2000多張鴻海 是誰
多軍能量圖
2345又漲
放心 智邦小嘎6.61% 還在容忍範圍內 @[email protected]
智邦終於開噴
櫃買又頂在那邊不退
2345現賣108 等下出場領便當
中環真股海冥燈，992881
崩
106.5  10張出場領便當錢囉 輕鬆賺
期指感覺很硬
打假球等大媽開盤
還在壓力線內
雙鴻噴噴
和碩終於醒了？
泰鼎，來喔
6290量好大 想幹嘛
3272還在飆阿
99富邦
小道瓊又瘋了
搞ＧＧ就會漲了啊   啾啾空軍QQ
買起來
被嘎歪@@
8358 可以短多當沖 一波
8069漲起來
2345噴高高
幹 空軍中伏擊了QQ
智邦吃到什麼，炸起來了
99VIX
智邦要飛了
等大媽開示
VIX抱上抱下   幾個賺到錢了
豐泰一天就賺錢 哈哈
套套套乎你爽 套套套乎你勇
感覺死貓跳@@
今天看小道瓊發瘋就飽了
全部認賠殺出了…這波資產減少25%
99 2881
爽鴿：套嘎咩起笑 套嘎凍每條
8069 外資一天500就好 股本算起來 漲翻天
99小弟持股QQQQ
百合出貨囉~~~
幫我空起來
好像有人被智崩嘎
嘻嘻，2345空軍擊落！
你們都有無限資金是不是 都可以每天賠QQ
中環真的厲害欸 買富邦崩成這樣
看美股做台股就是這麼...........咦??
中環反指標
Mopack你最近手氣不順 先停個幾天吧
乾 說好的領便當錢呢2345
賣的就漲，買的就跌
請問前幾天買vix 的 如何了
vix賠到我只能吃饅頭當早餐...
中x會不會是公司買多，老闆放空
今天+~持股都紅的?
恭喜嘎偉的紅茶大漲0.15！
淦 元大金賣太早
感覺要向下了
好啦 今天有事要忙 中午再來看盤！ @[email protected]
乾 今天被嘎到惹
其實這邊很多人都說賠錢，但實際上是大賺
國泰 富邦可以再下來一點 等好久了
智崩壓力重重 等突破再做多才安全
6558  到底在漲什麼阿
智邦波段新高。。
Gggg
多多們夢該醒囉
992330啊。
3703點火....(開玩笑拉)
上銀要漲停了
2345吃了什麼藥
買VIX的一個比一個恐慌
真的…休息一下，不然越做越慌越賠…
富邦表示:中環你...好...樣...的...
不夠恐慌就一直跌 還好前陣子停損...
表示 VIX 買點快到了
ＧＧ又有白痴在顧216了Zzzzzzzzzzzzzzzzzzzzzzzzzzzzz
國泰跟富邦套在糕點
誘多
買vix是看好恐慌指數，結果只有我在恐慌這樣是正常的嗎
today is bear
99富邦金 QAQ
買定存骨真無聊... 法人又一直丟...
雙鴻 嘎起來
正常
是懷十料理嗎...
你有恐慌就對了
今天大媽的腳色是來亂的還是助攻要開了
又護國正價差
空智崩還好嗎
挖 2345這啦...
無聊鳥盤 十點後再看吧
三商獸跌成這樣 主動公佈Q4自結 搞不好還比較好 躲躲藏藏
智崩這表態 是打算飛高高嗎
大同妖起來~
空軍聽令 : 放空啟碁、智邦、中磊、智易
2345帶量突破  噴高高
大媽不堪一擊
空軍希望放在大媽了
神盾 噴出
智邦key笑！快逃啊！！
一個都別想逃
明後天空軍準備轟炸
空軍聽令 : 買大葡萄9500，明日直接賺飽飽
大媽：我又上來了，我有下去了
買VIX的我好恐慌.手滑了十張......Q_Q
拉機大媽
Gg一堆人買
智邦年收破表
智崩嘎起來
好險我沒揍智崩，會被ko
跟單的應該沒選智崩吧
2345是要直噴漲停？？？
有人要出股版VIX嗎 搞不好超好賺
6223  準備go
2345棒棒叫
2345要漲停?
智崩今天好兇
今天指數扣掉台積電影響 其他股很硬啊
9958内資主力要開始收回資金了崩崩
這拉法有點扯 噴射
還好111狀況不太對勁跑掉
2345 114脫手
跟單仔信仰還夠嗎
智邦讚讚讚
2345嘎嘎...
我一直呼籲不要空它，希望大家有聽進去，功德無量
1597
大媽畫線？
電鍋又發爐了
嘎爆！
正價差又來了
還有人不信嗎？
99大媽
邦智邦空單QQ
大媽噴射
就說外資被巴假的
傻多又數錢了，舒服
不止-6.6了
挖 好多噴噴的股 怎麼我的才3% QQ
開低走高收最高
當沖沖起來
唉呦 世界仙境今天很強哦~
昨天空神盾的還好嗎
嘎勒給給
日經期貨1/11 14:00到昨天都是殺爽的XD  現貨沒開還殺那麼爽
噴噴
今日開盤日經期貨馬上補漲跟上現貨還了公道了 讚
大媽昨天停損 哀
5G展要開始了，網通先衝一波
大媽這根兇
該不會有人1/11收盤後去追空日經期貨今天被尬爆吧
空智邦的不知道停損了沒
2345也太猛
換6488開嘎了？
昨天沒殺百點還好沒追空
智邦衝好高。。
Dora再說我嗎 我小日經被嘎爆 剛停損
今天智崩太兇了，這一根太長，頂到肺了
賺錢很難？
記住那個喊空2345的
99 VIX
大媽下去 乖
看看前兩天 標普500沒什麼殺 日圓還貶 結果日經期貨殺慘
鴿 每天都畢業
鴻海要噴了嗎
今天該不會要百點招待了
我的和碩終於要紅了嗎嗚嗚
現貨沒開都是假的  至少要會參考標普500期貨和USD/JPY
開嘎了....恐怖...
神盾真妖
中美聯手嘎空  不忍直視
