感謝辛苦的整理
等等 這不是哆啦王嗎
特別查了一下 真的是哆啦王
推
推
推整理
媽我在這
哆啦王博學多聞
謝謝，股市太複雜了
長知識
有神快拜
受我一拜
幫你更正一下ARCA掛牌的股票為ETF 普通股實際上不會在這掛牌另外目前BATZ還是有不少ETF掛牌 普通股則是沒幾家，除了舉例的5大交易所外 基本也有許多較小型的交易所，但不會成為企業掛牌的對象就是此外NASDAQ 交易所有分版塊，雖然我們都統稱，但實際上掛牌還是有所分別（原則上就類似東證1、2部、跟中小）至於美國未上市股票則透過OTCBB(Finra監管）與OTC Market  補充一下OTCBB雖然一樣是電子自動報價系統但並不是等同於在NASDAQ掛牌.....
FB: 美股現金流市政債ETD特別股CEF社歡迎喜好現金流之同好加入^_^
推推，終於知道為何QQQ有百度、網易 XD
幫你修正一下內文中 不是不能在其他國家交易所上市，納指100是僅限不能在美國其他交易所雙重掛牌，但2004年以前就維持雙重掛牌並持續雙重掛牌者不再此限
推
推推
話說IB實際上是去年10月才從Nasdaq 跳槽去IEX的
跟樓主一樣問題  有卷商可打折  請私訊詳談 謝謝
還有人關注這檔嗎
