盤
所以 川普 又在 幹麻了？
多空交戰
今天的歐美盤還蠻無聊的....   = ="
川普 一個 七十幾歲老頭 想啥呢？
抽插盤爽到u大XD
想著騙全世界的資金，你看過不升習美元還走強？
要噴了
這邊感覺在等消息...要小心...
Ck大 達運想買 哈哈
又下車了XD
最近我在看3289   差不多要分批慢慢進了達運這邊應該是短線漲多的獲利了結賣壓  你可以等稍微打底
跌不下去
再進  比較安全點
3289我買的話 我會等站上月線QQ好的 感謝能量圖ck大
h大，什麼消息?
貿意戰中國出訪美國...好像明天開始談? 2/28周末川習會談
宜特我是希望等他回38  甚至35  但怕等不到  所以小批進比較不會怕錯過沒買到   然後有跌再慢慢加碼   長期來看我覺得獲利的期望值應該是蠻高的   畢竟他虧損主要是因為折舊
我等新聞...現在分析全掛...數據越爛不準了...
最近有點懶得做功課   只有比較注意到這支
上次永冠跟台虹出太快，這次要抱緊處理，感謝ckw大
謝謝ckw 真的很不錯
奇怪昨天不是肉鬆法說嗎，怎麼找不到新聞Ck大真是我的便當明燈（淚
不過建議自己還是要設一個停損  畢竟大環境很難講  現在常會有系統性風險   所以還是要自己拿貼一下～拿捏～
好哦！感謝
黑啊 跟單自己要會停損 真的
有賺不用謝我沒關係   但賠錢千萬也不要怪我   XDDDD
現在都是好消息連發啦，最終就是03/01結果，不是利多出盡，就是利空加重
3/1後的走勢真的很難講   所以我也不會太重倉   保守一點
美國漲...大陸沒漲...現在全世界就美國好...川普很屌~
川普 這個 總統 真爽 世界第一人
昨天元宵節大媽忙著煮湯圓XD
今天陸股不是爬上頸線了
水可載舟 亦可覆舟
剛看了一下宜特的質押  跌到72時  600張->1800張跌到50時   1800張->2142張   跌到30時  2142張->2950張跌越多，董監事質押張數越高，就我經驗通常是公司高管對未來營運不會太悲觀   因此敢以股票質押借錢
真的很專業的分享，謝謝，我來觀察這檔，謝謝
今天應該死魚盤吧
死魚抽插盤 今低支撐 25912壓力
小恆指不知道在噴什麼@@
GG VDR VVVVVVVVVVV
我覺得宜特的競爭對手閎康應該比較好....
夜盤噴什麼
r大推薦得也不錯  值得來研究研究～
台股前幾天的漲幅落後國際，現在是補漲
宜特最不好的  應該就是籌碼   1-5張占了快2成   誇張XDDD
CK大先恭喜你昨天大賺（近期標的都很出色）
宜特妹蠻正的 之前還出過月曆 但是都老了 XD
另外我也也有注意宜特，正在等待他的反轉出現。
負債比率也頗高   要進的真的要設好停損就是了～
台灣主要的委外實驗室 就是 汎銓 閎康 宜特
謝謝阿  沒有大賺拉   貼補家用而已～
汎銓 還沒上市櫃
喜歡逆勢的人，應該都死光了吧
宜特月曆  我有印象   XDDD
那斯達克繼續噴啦~看會不會過昨天糕點
宜特的妹 有些是真的不錯XD
小道瓊反攻了!!!
台股真的妖... 直接拉高...
其實他們2018的月曆也是不錯啦～
V起來 29000
噴噴噴~讚讚~
那斯達克真的很誇張，每天沒有極限就是往上。
空軍吐血中
本來想說明天會壓結算，但再這樣噴下去可是壓不住
爽
股版三不五時就有啥大啥大出現，臭死人，嘴的東西都一模一樣，可悲秀下限
美股融資也是歷史水位的低...該尊重還是要尊重...
看到捧別人懶叫的有夠狗腿，噁心
Ｖ......姊......救......我......
我羅曼哥還在撐...
一片紅，安心睡覺去
連多軍空軍都不是都在批評的... 是賠多少XD 不忍~
有人沒人捧    好生氣    大家快捧他   XDDDD
聯電嘴哥 你聯電套好套滿
...洗個澡出來就被嘎報惹
有個問題疑問很久 kanhun為什麼這麼多年嘴巴一樣臭
有沒有嘴最臭的人  老愛上來講別人臭的八卦   XDDD
明天睡醒數錢 空運早點睡
。。。。2017年發臭到2019一樣都只會發臭
早上起來刷刷牙...
嘴臭的人哪有這麼容易改變阿   大概這輩子就這樣了吧～
他只會臭散戶一直喊，  我也不懂 ㄎㄎ
不要生氣啦 你最棒！
只能幻想自己賺很多  然後別人都臭散戶賠錢這樣   XDDD
駐股版奇人異士
空單被嘎代表現股要賺了 一抵一消
兩年都能堅持如一 真蚌
那個人的ID有出現很多年了喔？ 完全沒注意他  XDDD
正常能量釋放  別意外
我覺得在現實生活很孤單的人才會這樣吧   個人感覺啦～不過不重要  不過就是另一個股版嘴砲ID罷了
對不起~我沒洗澡我自首~~我臭臭der Q_Q
看不懂在漲什麼
再一根要破前高~ 感覺會硬摸月K了...
今晚夜盤是吃春藥喔? 明明小道沒什麼動靜@@
兩個月前 兩個月後 牛市???
美股四大指數都翻正了    真的好硬阿!
我的10100c成本83居然解套
空方小心 台股拉高算 非常高
今晚要過26000了
過前高了ORZ...
台指要碰10200了嗎，明天倒莊？
不過要創新高可能還要看蘋果~~蘋果好弱都不動
台股夜盤世界強阿...領先全球XD
西舍正常發功啊 有什麼好不懂的?
被美股嘎爆跑來這邊罵罵人出氣，不怪你
好慘啊，空軍不是人
空單損3點趕快補回...太狂了
空軍沒人權
9600-10200  不喊一下空軍聽令攤平嗎
美股 又在皮了= =  第四節怎麼打呢  未看先猜噴百點
99空軍
羅曼大將軍空單都還抱著呢 傻空緊張什麼 沒事兒
VIX又是變黑了
真的要10200了
有些空軍不值得同情，之前不是很愛酸人嗎？現在應該痛不欲生
往26000前進!!後面沒單喊爽的
哈哈哈
小道已經連八週紅了，猜這週應該會黑
明天繼續鼠錢 來睏
睡不著
波浪的確連8紅第9週可能會黑，再紅下去要等13週了
但台股別怕 明天10200大鈞鎮守 要破沒這麼容易
6180跟6269空單一樣抱著 沒在怕
無腦多 睏飽數錢 先來睡啦 明天起床數錢
美股持股一直漲，預計在27000前再補兩口小道空單
美股難道是魔力紅? 都不用回測的mderb...
買富邦vix很衰，美國的vix從大漲回平盤附近
明天只要持續沒量就會漲
黃金也是不回頭一直噴
當還有人在等回檔就不會跌了XD
有啊 富邦vix今天不是有漲=.=
 美股這波比川普當選還兇
其實沒很兇，最後的嗄空段還沒出現，看量就知道
一切預告在先…美股今日收盤+350…台股明日收盤+150 ^^
夜盤多單好簡單
就是一直作多就對了
哥 在 等 國泰 回頭
今天散戶籌碼淨空單激增好多，倒莊的力量不小
台積最近利空不斷，會變錸德嗎
美股+350做夢？？Zaqqaz預告哥欸
無腦多多多
爽快，讓10200倒莊
幹太扯了..台錶指真的不能亂空
我掛10200空，會不會馬上被嘎
故意拉一半...明天再跟日韓陸其中一個...太表了...怎麼贏
除非美股晚點翻黑，不然明結算明天不倒莊，下週一樣拉摩台就結算了…輸入法…多了好多贅字…**就算不倒莊
借問...10200倒莊的意思是
媽的還願有點恐怖
10200莊家大軍在那邊鎮守 將近5萬口
看樣子很有可能倒莊
很多人賣10200的認購選擇權 = 不看好會突破10200，如果突破太多，賣的人(稱莊家)會賠錢小那小道沒啥動，台指一直逼近10200…
5萬口雖然不是沒倒過 但說實話沒幾次
不過明天倒莊成本有點高，如果摩台結算前有變動風險很大，硬嘎的機會不高(除非晚點美股上26000)
那要見證歷史了嘛@@
好想空喔
我也是，但太妖了
其實不一定要明天倒阿  正常來說在等一天就好了XD沒必要為了一點錢砸自己的腳 禮拜4在破也沒差多少
在漲下去我要轉多了哦
國泰43.x反覆測那麼多次時不進 噴出才想回檔要追?
明天應該在10150~10200跑
我是猜開高10170然後殺到10120再拉10150結算
實況一堆在 還願
夜盤一臉要過10200 = =，幹 專業詐賭
坐穩了
10200 穩穩的
南下路段了
要崩了吧 = =
難道只有我賠錢
太坑了
賠錢QQ
今天是漲台積adr?
美股往上噴有賺一波但沒追高
機機ADR漲1% 看起來有那回事
拜託 國泰 回頭
國泰是啥
又不是沒倒莊過 當莊家是神沒輸過嗎
#相信莊家 已空我先去借個紙箱
每天都漲好無聊喔
有點扯呢
每天漲 好膩喔
看煩了...可以換別的嗎
傻空真的空空還不快轉多 明天被嘎飛
我 就 知道 今天……又漲
完了，要嘎死昨天加碼的空軍
哇塞 費半小道一起翻黑
大漲8點 靠腰勒
求求 國泰 回頭 哥 要多買幾張
大漲8點  這盤我不懂.......
收高結算 嘎到懷疑冷森~
無腦多睏霸數錢
早就說要放空了，傻多就是傻多，睡飽賠錢
跟著h大放空hen簡單
棒空睏霸賠錢
空空繼續催眠自己吧
W大今天好像比較早起-.-
果然還是在等消息。。。
早 今天一樣跑完步吃完早餐再來看盤 @[email protected]
跌不下去豪口怕
6446拿藥證了
夜盤10200達陣喔
放空數錢
本波高點484在夜盤過惹?
嘎到外太空
空軍從9400喊空到10100 一路被咖空
不管消息是什麼到最後都會嘎嘎
嘎空空毫不手軟
今天又看多少酸散戶 互相叫囂  是有多邊緣
大漲8.07點是在笑空軍嗎....
他們不嘎87空空要怎麼賺錢
大漲8點 漲不動了 以為天天過年 遲早來一根大的
法人成交比例上次這麼低好像是…
大漲8點，空空：漲不上去惹，多多：拉回空軍全陣亡賠錢
美股回平盤...台股跟漲不跟跌厲害了...
空軍安了
4147拿到藥證噴到300 6446會噴到??
周二特朗普再次表示雙方談判進展順利...
空軍蒙著眼睛當自己沒看到權益數越來越少 呵
一路噴到貿易談判開牌吧....
從上次有人嗆空軍結果手上沒多單就找到幾百個留言都空氣多單
有人都不知道自己為什麼一直在賠錢，只會整天講屁話，可憐看你泡在這嘴砲一年多了，還是一樣廢
多少喊空抖做多的舉手我看看
新手請益:結算日是一定都收漲嗎？
外豬vix快到光時 會發生什麼事還真是不敢看...當然 有人可以解釋成外資套利工具很多...似乎尚無不可
第七輪中美經貿高級別磋商 2月21日至22日舉行~ 磋起來!
死命的往10200撮....
==============108/02/20台股資訊重點整理，供股民做投資參考============= 台  股  10152.26  ▲6.98 (+0.07%)1013.92億 台指02 10142      ▲4   (+0.04%)  88 983口 盤後02 10 179    ▲36  (+0.35%)  20 680口 摩台指 374.0      ▲2.3 (+0.62%) 八大公股        -6.74億 台指期未平倉口數 自營商 +1 493(+1 858) 投信 -25 352(+3) 外資 +59 821(+1 030) 台指選未平倉口數 自營商 -17 820(-23 111) 投信 -2 138(+51) 外資+40 721(-5 045) P/C Ratio 147.52%  (+4.74%) 最大未平倉量         Call 10200 Put 10100 最大未平倉變化量  Call 10100 Put 10100 -- 道瓊工業   25891.32 ▲8.07(+0.03%) 那斯達克    7486.77  ▲14.36(+0.19%) S&P            2779.76  ▲4.16 (+0.15%) 費城半導體  1348.49 ▼2.69(-0.20%) 今天台指、選擇權2月結算 該不會倒莊吧！ --
9300  一路做多 爽賺
會員觀眾大獲全勝~
99 8299 995
雯晴我老婆，天天玉米濃湯養胖30公斤，組豬寶寶戰隊
推
 盤前資料!!
VVJ995
玉山鴿又搶輸 弱
今天可以輪到我賺錢嗎？
睡飽數錢好簡單
推
